Posted At,Job Title,Company Name,Company Link,Company Location,Job Type,Job Salary,Job Experience Level,Job Education,Job Description
Just posted·,Customer Service Representative ( Night Shift ),Seven Zones,https://pk.indeed.com/cmp/Seven-Zones?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6il26jtul800&fromjk=cacef7bd8cdd680e,Lahore,Full-time,"Rs 60,000 a month",No experience required,No specific education required
Active 8 days ago·,ELECTRICAL / ELECTRONIC / MECHANICAL ENGINEER,QVISE (Quality Vertex Integrated System Engineering) Pvt. Ltd.,https://pk.indeed.com/cmp/Qvise-(quality-Vertex-Integrated-System-Engineering)-Pvt.-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6irqrjtul800&fromjk=9eb728fc3edc1cb7,Karachi,Full-time,"Rs 50,000",Mid level,Master’s Degree
Today·,Draftsman AUTO CAD SOLIDWORKS,Matchless Engineering Pvt LTD Lahore,https://pk.indeed.com/cmp/Matchless-Engineering-Pvt-Ltd-Lahore?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6j1mgjtss802&fromjk=58b6ddf763378de3,Lahore,Full-time,"Rs 35,000",Entry level,No specific education required
Active 2 days ago·,Mechanical Design Engineer,Digital Billing Services Private Limited,https://pk.indeed.com/cmp/Digital-Billing-Services-Private-Limited?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6j6c0jrhg803&fromjk=bd1d5d32569ca5fb,Lahore,"Full-time
Contract","Rs 80,000 a month",Entry level,No specific education required
Active 2 days ago·,B.Sc. Telecommunications - Fresh Graduate (Networking),ya-tech,https://pk.indeed.com/cmp/Ya--tech?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6jbt5jrhg800&fromjk=3eec897f095a68ad,Lahore,"Fresher
Full-time","Rs 32,000",No experience required,No specific education required
Active 7 days ago·,Construction Estimator - (For a Fencing Company),"VASL, Inc","https://pk.indeed.com/cmp/Vasl,-Inc?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6jhl4jrjb801&fromjk=d78feacfbfc92102",Islamabad,Full-time,"Rs 150,000",Senior Level,No specific education required
Active 2 days ago·,B.Sc. Telecommunications - Fresh Graduate (Networking),Intellect Marketing,https://pk.indeed.com/cmp/Otl-Tricon-Marketing-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6jq5njrin800&fromjk=41ceb83f784f9baa,Lahore,"Fresher
Full-time","Rs 32,000",No experience required,No specific education required
Active 3 days ago·,MECHANICAL DRAFTSMAN (Auto CAD),Prepac Engineering Industries Pvt Ltd,https://pk.indeed.com/cmp/Prepac-Engineering-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6jvfdjrgi800&fromjk=746ad4cc4353f3ad,Lahore,Full-time,,Entry level,Associate Degree
Active 2 days ago·,Trainee Engineer,Xclusive Solutions,https://pk.indeed.com/cmp/Xclusive-Solutions-4?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6k7fdjl0v800&fromjk=4249fac424b796ca,Karachi,Full-time,,No experience required,No specific education required
Active 2 days ago·,Engineering Assistant Power & Automation,Ghandhara Tyre and Rubber company Ltd.,https://pk.indeed.com/cmp/Ghandhara-Tyre-and-Rubber-Company-Ltd.?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6kfcejkm9801&fromjk=8656b27e34d3c6ee,Karachi,Full-time,"Rs 70,000 a month",Mid level,No specific education required
Active 2 days ago·,Design Engineer Intern,Apple Energy Technologies Pvt Ltd,https://pk.indeed.com/cmp/Apple-Energy-Technologies-Pvt?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6kla1j6d6800&fromjk=155d59e7c146126a,Karachi,"Fresher
Internship",,No experience required,Bachelor’s Degree
Active 3 days ago·,CAD Specialist/ Draftsman (Interior design),Imtiaz Super Market,https://pk.indeed.com/cmp/Imtiaz-Super-Market?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6ku84jrji80i&fromjk=e490afb518c6e77c,Karachi,Full-time,,No experience required,No specific education required
Active 4 days ago·,FRESH BBA & MBA,Water Engineering & Management Services (PVT.) LTD.,https://pk.indeed.com/cmp/Water-Engineering-&-Management-Services-(pvt.)-Ltd.-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6l63sjrji800&fromjk=8511766aed06dc4b,Lahore,Full-time,,Entry level,No specific education required
Posted 2 days ago·,Maintenance Officer,GSK,https://pk.indeed.com/cmp/Gsk-5f077e22?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6le4tj6e483c&fromjk=d4ee621c3cc6cb0e,Karachi,,,Mid level,No specific education required
Active 2 days ago·,Power Electronics / Electronics Engineer,Sabro technologies,https://pk.indeed.com/cmp/Sabro-Technologies?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6lqvujri0801&fromjk=1d6ae8a98a30cb7c,Islamabad,Full-time,"Rs 40,000",No experience required,No specific education required
Posted 2 days ago·,Maintenance Technician (Pharma Machineries Maintenance),Cosmo Pharma Int. Pvt. Ltd,https://pk.indeed.com/cmp/Cosmo-Pharma-Int.-Pvt.-Ltd-1?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6lvsjjrgh800&fromjk=a704ca2905dbef21,Karachi,Full-time,"Rs 40,000",No experience required,No specific education required
Active 2 days ago·,CAD Designer / Paid Interns,R&D Engineering,https://pk.indeed.com/cmp/R&D-131236e2?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6m4r8j6e4802&fromjk=6a9a4d346efd45a2,Korangi,"Full-time
Contract
Internship","Rs 45,000",No experience required,No specific education required
Posted 1 day ago·,Marketing Intern,Creative Engineering Services,https://pk.indeed.com/cmp/Creative-Engineering-Services?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6m9p0jrjb801&fromjk=b8dddf11c9144a70,Islamabad,"Part-time
Fresher
Full-time
Internship","Rs 10,000 a month",No experience required,No specific education required
Active 2 days ago·,Fresh Engineer,Engineers Recruiters,https://pk.indeed.com/cmp/Engineers-Recruiters?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6memkjrjb802&fromjk=d9123ace521a5093,Karachi,"Full-time
Contract",,No experience required,Bachelor’s Degree
Posted 30+ days ago·,Maintenance Supervisor,Shell,https://pk.indeed.com/cmp/Shell?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6mmjcjkbq800&fromjk=31f995f9c8eff8f6,Karachi,,,No experience required,No specific education required
Active 2 days ago·,CAD DRAFTSMAN,Integrated Dynamics,https://pk.indeed.com/cmp/Core-Carbon---Canada?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6n0ehj6e4800&fromjk=2423f04ed68536e7,Karachi,Full-time,"Rs 35,000 a month",Entry level,No specific education required
Active 2 days ago·,Junior Draftsman,Elahi Group of Companies,https://pk.indeed.com/cmp/Steel-Complex-Pvt-Ltd?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6n6atjrig804&fromjk=c8a908e6802205e5,Lahore,Full-time,"Rs 20,000",No experience required,No specific education required
Today·,Engineering,Hitech Communication,https://pk.indeed.com/cmp/Hytek-Karachi?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6nb9hjrji802&fromjk=2a9c5c5102c46b73,Karachi,Full-time,"Rs 30,000",No experience required,No specific education required
Posted 30+ days ago·,Internship - Software Engineering,Arkhitech,https://pk.indeed.com/cmp/Arkhitech?campaignid=mobvjcmp&from=mobviewjob&tk=1hse6nf8ejl0v806&fromjk=de5fe65bcdb903ec,Islamabad,Internship,,No experience required,No specific education required
